client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations
f0262_15,2,,378,train,26414840,26414840,4489025100
f3693_03,2,,163,train,26414840,26414840,1848422100
f2252_75,2,,162,train,26414840,26414840,1848422100
f0204_21,2,,355,train,26414840,26414840,4092934650
f0070_14,2,,396,train,26414840,26414840,4621055250
f2280_57,2,,167,train,26414840,26414840,1980452250
f0850_30,2,,329,train,26414840,26414840,3828874350
f1760_27,2,,159,train,26414840,26414840,1848422100
f2372_55,2,,163,train,26414840,26414840,1848422100
f3549_47,2,,152,train,26414840,26414840,1716391950
f0700_20,2,,373,train,26414840,26414840,4356994950
f2117_54,2,,151,train,26414840,26414840,1716391950
f0634_01,2,,342,train,26414840,26414840,3960904500
f1024_46,2,,365,train,26414840,26414840,4224964800
f2550_79,2,,163,train,26414840,26414840,1848422100
f3113_40,2,,171,train,26414840,26414840,1980452250
f1438_26,2,,114,train,26414840,26414840,1320301500
f0745_35,2,,401,train,26414840,26414840,4753085400
f3732_30,2,,179,train,26414840,26414840,2112482400
f0938_10,2,,399,train,26414840,26414840,4621055250
f0607_27,2,,345,train,26414840,26414840,4092934650
f0276_07,2,,357,train,26414840,26414840,4224964800
f3412_27,2,,166,train,26414840,26414840,1848422100
f1922_38,2,,153,train,26414840,26414840,1716391950
f3687_48,2,,173,train,26414840,26414840,1980452250
f3519_18,2,,144,train,26414840,26414840,1584361800
f0071_21,2,,301,train,26414840,26414840,3564814050
f2453_70,2,,173,train,26414840,26414840,1980452250
f0236_17,3,,297,train,26414840,26414840,3432783900
f0479_35,3,,366,train,26414840,26414840,4224964800
f3855_47,3,,161,train,26414840,26414840,1848422100
f0513_18,3,,361,train,26414840,26414840,4224964800
f0700_20,3,,373,train,26414840,26414840,4356994950
f0256_08,3,,423,train,26414840,26414840,5017145700
f1262_42,3,,271,train,26414840,26414840,3168723600
f3966_01,3,,175,train,26414840,26414840,1980452250
f2350_98,3,,168,train,26414840,26414840,1980452250
f0979_22,3,,239,train,26414840,26414840,2772633150
f1563_24,3,,146,train,26414840,26414840,1716391950
f0056_01,3,,344,train,26414840,26414840,3960904500
f0081_26,3,,341,train,26414840,26414840,3960904500
f3659_25,3,,162,train,26414840,26414840,1848422100
f3496_38,3,,164,train,26414840,26414840,1848422100
f2455_72,3,,173,train,26414840,26414840,1980452250
f0850_30,3,,329,train,26414840,26414840,3828874350
f0043_10,3,,331,train,26414840,26414840,3828874350
f0607_27,3,,345,train,26414840,26414840,4092934650
f3657_40,3,,174,train,26414840,26414840,1980452250
f3113_40,3,,171,train,26414840,26414840,1980452250
f0899_05,3,,317,train,26414840,26414840,3696844200
f2217_71,3,,181,train,26414840,26414840,2112482400
f1881_37,3,,140,train,26414840,26414840,1584361800
f0071_21,3,,301,train,26414840,26414840,3564814050
f1031_37,3,,365,train,26414840,26414840,4224964800
f1880_06,3,,146,train,26414840,26414840,1716391950
f0814_03,3,,382,train,26414840,26414840,4489025100
f1039_40,3,,330,train,26414840,26414840,3828874350
f0488_39,3,,386,train,26414840,26414840,4489025100
